"","Mouse_ID","POND_Mouse_ID","Study_Name","Background","Is_Wildtype","TwoLevel_Group","Mouse_Sex","Mouse_Age","Timepoint","AGE_cent","total_tissue_volume","Left Piriform cortex","Left Subiculum","Left Entorhinal area","Left Field CA1","Left Field CA3","Left Dentate gyrus, molecular layer","Left Hippocampus","Left Medial amygdalar nucleus","Left Amygdala","Left Anterior cingulate area","Left Retrosplenial area","Left Primary auditory area","Left Agranular insula","Left Perirhinal area","Left Primary motor area","Left Ventral orbital area","Left Primary somatosensory area","Left Primary visual area","Left Temporal association areas","Left Posterior parietal association areas","Left Globus pallidus","Left Bed nuclei of the stria terminalis","Left Nucleus accumbens","Left Caudoputamen","Left Thalamus","Left Medial preoptic nucleus","Left Hypothalamus","Left Cerebellar cortex","Right Piriform cortex","Right Subiculum","Right Entorhinal area","Right Field CA1","Right Field CA3","Right Dentate gyrus, molecular layer","Right Hippocampus","Right Medial amygdalar nucleus","Right Amygdala","Right Anterior cingulate area","Right Retrosplenial area","Right Primary auditory area","Right Agranular insula","Right Perirhinal area","Right Primary motor area","Right Ventral orbital area","Right Primary somatosensory area","Right Primary visual area","Right Temporal association areas","Right Posterior parietal association areas","Right Globus pallidus","Right Bed nuclei of the stria terminalis","Right Nucleus accumbens","Right Caudoputamen","Right Thalamus","Right Medial preoptic nucleus","Right Hypothalamus","Right Cerebellar cortex","Midbrain","Medulla","Pons","Hindbrain","Brain stem"
"11","AndR_262",20,"AndR","C57BL-6J","WT","AndR","M",56,1,-6.41958041958042,451.317967224769,5.05881939111442,2.90250697747467,6.19858626312641,4.59793651376579,3.42165465850245,2.36679806454771,12.1413043448307,0.547633610157804,6.99885959746529,2.4562485857672,3.14962673724241,0.79404721732478,0.439797838104752,1.20437017381578,4.11374819885132,0.826713917817274,14.0067530016022,1.1340944041161,1.46145413544553,1.45448907965083,5.73465054353222,0.677321611095344,3.79279899616714,10.7034093690671,9.00110105086706,0.101948795861979,5.70651847974048,12.8533911655423,5.17344292493194,2.7745545424259,6.06221768335748,4.42769343970553,3.50756261187507,2.11360760434001,11.6646070609389,0.580612364614122,6.5675501890676,2.4639823113015,3.04190024204728,0.792564044775012,0.433052030849269,1.18908961524653,3.72610325241517,0.795168576041191,13.7423057947398,1.15270054944087,1.56942701462044,1.06667069001493,5.75109385940171,0.675058340144803,3.72099569090265,10.2856212053133,8.93727359121926,0.0877563423875735,5.61444973329086,12.589141181655,32.6053871704846,28.2565844205546,18.5547267892925,46.8526793745607,79.5518845797242
"12","AndR_263",21,"AndR","C57BL-6J","WT","AndR","M",56,1,-6.41958041958042,434.09115267419,4.83523667916661,2.70096373541196,5.81567964051427,4.47058356090489,3.07769706606322,2.32040997092674,11.5637169772528,0.53418386421964,6.95620719589477,2.4599442855655,3.01096585255591,0.814242665794067,0.438726134379768,1.21751160492587,3.97476002422069,0.728643095036971,12.8812231752527,1.06893068560338,1.28103431819344,1.35974126847964,5.64626463750579,0.696435149810906,3.69950062076599,10.3493947640033,8.70713603894495,0.0964765647484686,5.56628373470354,11.5085963441959,5.08519160777873,2.74924171064727,5.89219599711701,4.19739495350403,3.26575927488261,2.14337760195988,11.2049076244057,0.607935281560917,6.4316647395663,2.58462479784305,2.81600406611049,0.744564425918502,0.399892845369668,1.21211439882093,3.77500013737542,0.79309754606492,12.8339561058496,0.970194768584859,1.46827358199129,0.975429492300087,5.71781341529015,0.664002004442343,3.84472554558099,10.4392032024878,8.37351333424729,0.0872291859397275,5.56608370745202,11.4924644803369,31.1300495464283,27.9513206054647,17.7601534846991,45.7054000774011,76.8648926635708
"13","AndR_785",85,"AndR","C57BL-6J","WT","AndR","F",56,1,-6.41958041958042,447.778198766075,5.02613299118433,2.90686702597792,5.96393580948527,4.23110830400272,3.25697293753223,2.12654684899084,11.1590280213621,0.484662002738504,6.77458036411449,2.55679710786677,3.03607866752666,0.738744564830395,0.481929190793163,1.19505048542649,4.280117472671,0.91687770675127,14.1548586075914,1.13557120226936,1.38353843186402,1.46595207526073,5.69927427631227,0.671667606187337,3.96493801845399,10.9023346570977,9.09227325383245,0.100593289072394,5.56206659497563,12.7993961586698,5.18514227099176,2.88759867116908,6.11625600634174,4.11175603824985,3.17911984620566,1.95881562074798,10.7166974171924,0.496761241625001,6.30361096758449,2.47337972604275,2.7094504262363,0.78871380796834,0.51170016223202,1.2696458209087,3.80125137574346,0.737981425728678,13.8833766930285,1.11277937450337,1.65792870133726,1.05455180807068,5.77304603946828,0.670666804935882,3.90693727932612,10.8429930240019,8.9685686493088,0.0835976637434549,5.42924949395302,12.0876935146962,33.1375676733027,27.3059650900375,18.5397468906736,45.923522317706,79.1751590435095
"14","AndR_788",86,"AndR","C57BL-6J","WT","AndR","F",56,1,-6.41958041958042,439.234983123959,4.80957753287041,2.74058567618524,6.21892747892194,4.19317218609401,3.20589341078626,2.16402669044104,11.1418048505321,0.471160725206696,6.38876761977293,2.20978364059567,3.26005954636687,0.834438114263354,0.480991450033803,1.19035711717288,4.22419142443927,0.753721374027121,13.507791158657,1.16307656787388,1.36372935468228,1.3641451311999,5.52852628685105,0.632239678156282,3.77628361340606,10.4828596399864,8.63226105944387,0.0863353658041649,5.45598474210141,13.0363489150054,5.29397993746178,2.8771757404367,6.31446922939637,4.32447748807461,3.18342995477003,2.1547214115368,11.2575202837021,0.523228534867826,6.29823399495924,2.24676233948104,2.99658573968874,0.739174094389161,0.436095120655941,1.16911851649631,3.63406577813687,0.717805585314684,13.4804888448192,1.15131745361627,1.4443623875637,1.13874307926989,5.80186561276418,0.626286466765727,4.03883042325233,10.4259624692384,8.68077390458101,0.0772132134306531,5.51163189028247,13.1849500080849,30.9865739229951,28.6567152364995,17.9716139140234,46.6102173134417,77.6222217010237
"15","AndR_789",87,"AndR","C57BL-6J","WT","AndR","F",56,1,-6.41958041958042,438.991319976412,4.96823873647582,2.79699380369604,5.91207688569894,4.19823033514852,3.1250174934384,2.13382554283769,11.0592447477791,0.49311318409429,6.65360073555163,2.49600921808032,3.48213312280422,0.77954641566224,0.490100931696155,1.25660065766659,4.39527735292906,0.846717533294122,13.4000779906649,1.16270736833556,1.35662324128058,1.46426824539717,5.46894520521748,0.619730817740338,3.75207910162178,10.4547772210662,8.41537473962965,0.0903516822177506,5.42105969759414,12.4493730381237,5.14408206607026,2.82702655371291,5.85833343548928,4.25489937922221,3.25770124582766,2.04008291263771,11.0981538933643,0.509823763505619,6.29385059336228,2.45344196774059,2.97229913394697,0.774596273010543,0.459338030731041,1.26720287304935,3.93940247115509,0.789757175135451,13.133256885118,1.14804831803083,1.50217299687599,1.0755267960511,5.52452857850122,0.620293312833553,3.82002225851067,10.3432078864297,8.41878385687443,0.0818404755839682,5.31451631212868,12.5124636803337,31.3929281050116,27.0614551419373,17.9436282119573,45.0479128666331,76.4798482669316
"16","AndR_801",88,"AndR","C57BL-6J","WT","AndR","F",56,1,-6.41958041958042,414.916674166949,4.84767943101376,2.67093390134583,5.73045888752465,3.95515817225204,3.20937610579164,1.94957681501293,10.5364937337793,0.430605361017639,6.29003229411994,2.54774901525687,2.88667331263751,0.765104321698738,0.403025004041253,1.18050104384032,3.96428537553761,0.817921768241904,12.8525360533719,1.09563611887488,1.39831663230119,1.34795445943444,5.20603273010427,0.616628620357184,3.56180023269571,9.83960590485936,7.99707933737925,0.0838251680456739,4.97748787381785,11.4646969055565,5.11494619463281,2.67240982124858,5.63116526843411,3.94721700763043,3.11796627686558,1.81068587452653,10.2660508851639,0.457516634402851,5.84797098293427,2.4077883109913,2.79147152005762,0.790959779438899,0.367783001202712,1.18799028870982,3.51912963328202,0.745731086285046,12.4944488542234,1.28315163289807,1.53122963820572,1.09626872860952,5.2537654591245,0.611975228496655,3.54412442386569,9.63756087238489,8.1272456841455,0.0760417546576619,4.97723535048435,11.5034080556674,29.6976345461189,24.7977075783147,16.3965762790907,41.2107089115077,70.8678074213688
"17","AndR_802",89,"AndR","C57BL-6J","WT","AndR","F",56,1,-6.41958041958042,423.117342915937,4.6763175946939,2.60155462953788,5.86720326953465,4.1014510832392,3.13502333146988,2.09346681501522,10.8709565995759,0.451733314407109,6.47491183057097,2.40845936423712,3.05890271961395,0.725535332546705,0.453863949495161,1.274636601384,4.06266131580066,0.867134202777868,12.7114051176075,0.992506381172039,1.19808773786736,1.38869018959621,5.28291861118299,0.616028195057219,3.60701447730392,9.63070010557487,7.78239673017184,0.0892973991591843,5.30559322391696,12.4062551918637,4.86065415839977,2.74971818748075,5.86618562369274,4.0947405685305,3.28399915460422,1.98684503382959,10.8608972532303,0.489859210412968,5.96123808019601,2.44480650554609,2.93553105740637,0.689570210196538,0.437039527837322,1.20826675594245,3.55189623924505,0.791694590274543,12.4420221469599,1.19205591245013,1.46300706575028,1.04872542252056,5.29579155786153,0.597612325107478,3.55767655111377,9.50919931949498,7.85941588875714,0.0689544290810654,5.1808210857371,12.8113464926675,30.3589431100269,26.2915379548388,17.2589655588446,43.5724828571552,73.9238314915558
"18","AndR_803",90,"AndR","C57BL-6J","WT","AndR","F",56,1,-6.41958041958042,417.861088622737,4.86779413866305,2.65501972430897,5.90699158175025,4.160013208959,3.06824403676292,2.10280961607238,10.8763457852872,0.471985230704821,6.30713522513108,2.56571776255239,3.00263729873016,0.673109357305213,0.440467652932867,1.34497007707013,3.89623078672551,0.77248582748328,12.6654329434308,1.07397641262703,1.27795290618739,1.3249637055276,5.26145189794732,0.597415010758294,3.72191822228432,9.62761788886411,8.04335730212222,0.0897994387108825,5.34271593278951,12.4552349809689,4.85390453567294,2.60957443883338,5.96733707589822,3.96316550070079,3.25832589924286,1.92256344622701,10.596599469771,0.49396620419203,5.94142510497847,2.2663826175555,2.90890801870726,0.703431062700557,0.389294498111947,1.27263843203641,3.44221034206386,0.66830128813995,12.2231976296865,1.12918792042256,1.38552268887098,1.05705715385723,5.29655460155368,0.58970756173142,3.6493935067809,9.31484427072717,7.75809377085957,0.0779160886944478,5.2848560870116,12.1885773349603,29.7507625489383,25.9749680725231,17.0947672902696,43.0919274207074,72.8085412646618
"19","AndR_814",91,"AndR","C57BL-6J","WT","AndR","F",56,1,-6.41958041958042,414.744462878105,4.94270853061326,2.62013933628298,5.52458790128667,3.96049732958736,2.94336454442603,1.9481102125214,10.2061422055361,0.432666624762953,6.13579113714913,2.2679590529383,2.98121193507157,0.776082661418961,0.445759190074973,1.27101600301694,3.84110105681473,0.726813855863572,12.0707664951413,1.13077160827125,1.38064567773589,1.32250272341925,5.11786587217208,0.621782270848553,3.60896383395769,9.70809799186716,7.93727160221309,0.0953218737795627,5.19879861503242,11.3271366467933,5.01465805028344,2.60731117387435,5.69447353582494,3.84826896259583,3.14313980949494,1.84903875452471,10.1490685477343,0.501210484885648,5.89092831858312,2.49998456912722,2.695985194192,0.672950021314404,0.395852881315982,1.30879406035484,3.63457182610539,0.753347132004236,12.3134247526942,1.06147909300888,1.48697879484731,1.0005412140211,5.21848936227967,0.60117721839472,3.61604673697755,9.91067726694966,7.82921890288126,0.0909778540132992,5.15532482310945,11.847079805446,30.0760139831479,25.9833501568467,16.5038160959428,42.4647713712358,72.5188822976514
"20","AndR_815",92,"AndR","C57BL-6J","WT","AndR","F",56,1,-6.41958041958042,395.080254854758,4.35022723799493,2.44094134279942,5.17979311706036,3.71169259776241,2.87885176551624,1.90052710946288,9.86640127125942,0.428183376116894,6.08825967857232,2.25814633278422,2.91572788590742,0.727413978915941,0.452993190218612,1.13001381105514,3.71050485218162,0.759091076116777,12.0281906821173,0.94106457883339,1.23713991859707,1.29148139631674,4.93857500703548,0.575549522751225,3.28872785478047,9.16611709152204,7.63331300986476,0.0894480110246938,4.96596498498379,11.1913349708837,4.61688028424936,2.47211087237435,5.265656813376,3.59045371018165,2.85192638736668,1.82359020817224,9.58943445108538,0.454379347488289,5.66059517600921,2.26771603451205,2.73072426316438,0.676800258121076,0.44044988710342,1.09833410227155,3.27496148846115,0.692886418180843,11.6779725376027,0.977801795620194,1.40283560432995,0.951949158533109,5.05643062120028,0.57312305817773,3.39777212055275,9.03694650026678,7.384699305839,0.0775646510625504,4.93463481116932,12.3652689684399,27.9016679242564,25.9843248178136,16.8117168803322,42.7966666713739,70.5860294799898
"21","AndR_831",93,"AndR","C57BL-6J","WT","AndR","F",56,1,-6.41958041958042,453.99357263678,4.96959261102913,2.85056789967971,6.374783662586,4.40134312051446,3.38577737185944,2.19471670554157,11.6033302701618,0.508366535809602,7.02026449271835,2.57304544318694,3.04828540290487,0.904124153022202,0.459155486637268,1.33846640963299,4.12214016884881,0.793669597265547,13.789082641285,1.13255607270645,1.42479162116948,1.35488406695004,5.78661970389102,0.66561331774602,3.8885340673855,10.6713641000902,8.75361900020948,0.0932133076624303,5.71026044879483,13.6340716871027,5.28188686340956,2.92875435766093,6.54229174546858,4.39579645356493,3.47226969392083,2.15874276202174,11.5865992409542,0.518322958965061,6.52371617309929,2.57338599778115,2.99129802299559,0.813932859052041,0.446798402044926,1.23971970963163,3.83433426168684,0.806993489131512,13.7328082028444,1.15112884964018,1.50526026501727,1.12458496238308,5.88139824375388,0.648089147450018,4.0243179090339,10.6578854714717,8.63255855192631,0.0838905284367027,5.56704462187266,12.4483966565453,32.1326379928542,29.5003167927577,19.5746953126243,49.1436182006527,81.3553259521154
"22","AndR_832",94,"AndR","C57BL-6J","WT","AndR","F",56,1,-6.41958041958042,420.621861836889,4.75020046317492,2.64973316549878,5.56102326584346,4.08841229900983,3.05779595174665,2.08043034842385,10.7285043092267,0.455752778710472,6.41410723841814,2.4026609386913,3.18631052012369,0.772325368680489,0.402556133661573,1.27081485866321,3.98725609633383,0.750711980548303,12.9637062318232,1.12935634337438,1.29631560630506,1.48149512015551,4.95861790765864,0.575899770842871,3.43899076350836,9.24439561116026,7.87198021009511,0.0870382211765424,5.04145772574702,11.9528664791504,5.07034243777972,2.80540641739374,5.75221983657174,3.97490224384045,3.19723479524415,1.90113625035948,10.4977229413503,0.537032597291885,5.95925093813887,2.50252441094927,2.92889066900109,0.716714379683575,0.380952234676414,1.09937235511178,3.75045681090123,0.729897728079362,12.8606759977157,1.10743559518103,1.46149369901436,1.10017240692809,4.99996538798109,0.553490312537848,3.52267578152818,9.44425667546226,7.72699836226341,0.074050274743577,5.09254508096103,12.2093773754889,29.3417069430496,27.870033880756,16.9713863423482,44.7794883299759,74.0736335269252
