"","gene","Medulla","Midbrain","Pons","left Agranular insula","left Anterior cingulate area","left Caudoputamen","left Cerebellar cortex","left Amygdala","left Entorhinal area","left Hippocampus","left Medial amygdalar nucleus","left Medial preoptic nucleus","left Ventral orbital area","left Globus pallidus","left Perirhinal area","left Piriform cortex","left Posterior parietal association areas","left Primary auditory area","left Primary motor area","left Primary somatosensory area","left Primary visual area","left Retrosplenial area","left Nucleus accumbens","left Subiculum","left Temporal association areas","left Thalamus","right Agranular insula","right Anterior cingulate area","right Caudoputamen","right Cerebellar cortex","right Amygdala","right Entorhinal area","right Hippocampus","right Medial amygdalar nucleus","right Medial preoptic nucleus","right Ventral orbital area","right Globus pallidus","right Perirhinal area","right Piriform cortex","right Posterior parietal association areas","right Primary auditory area","right Primary motor area","right Primary somatosensory area","right Primary visual area","right Retrosplenial area","right Nucleus accumbens","right Subiculum","right Temporal association areas","right Thalamus","Brainstem","left Hypothalamus","right Hypothalamus","left Bed nuclei of the stria terminalis","right Bed nuclei of the stria terminalis","left Dentate gyrus, molecular layer","left Field CA1","left Field CA3","right Dentate gyrus, molecular layer","right Field CA1","right Field CA3"
"1364","Iyd","0.331790967756626","0.511390127199095","0.615876152732093","0.386051696690136","0.348720694380364","0.279025775940327","0.323365158087836","0.391568538747644","0.454266048934069","0.548527096714325","0.447786767692327","0.484272241488226","0.402239360286817","0.24305746327454","0.391175956137944","0.355133572051832","0.632322695637259","0.401767657874096","0.263293997679108","0.350104981320583","0.683615773762723","0.607488931215718","0.260606345002888","0.437387844067353","0.274455437797647","0.77842917549648","0.49010449862149","0.284970183690512","0.246683751236307","0.41510549926581","0.358593478201678","0.515705395356394","0.526599313839082","0.465371997100825","0.464302185670463","0.259904015061192","0.216003695343271","0.444654152993598","0.333020992248958","0.622411880629515","0.331101317142576","0.394424609907318","0.377935550807238","0.657396880114481","0.553755545515238","0.275127737761346","0.473453043264235","0.396721980520107","0.768694392950911","0.486352415895938","0.458397525131659","0.452010987826689","0.354455812164031","0.219011981003109","0.60757185727329","0.423031526393444","0.663553638366425","0.567252549246652","0.408957811911076","0.648858977041791"
"1365","Jak1","0.533723423324352","0.502404548877046","0.556651753800061","0.401953501364562","0.241663749378645","0.292385196508389","0.562616203750447","0.287078707981953","0.338692201188526","0.54646241747249","0.540088617440543","0.255807569244038","0.261964239544691","0.371973473630057","0.283696008750071","0.2289110637382","0.465509917796668","0.366603231593561","0.244029382180469","0.245874105660406","0.634346627290107","0.477841198164456","0.381114661232394","0.454677862348894","0.231064137472762","0.352942669915174","0.591240270018354","0.320797334111315","0.288908495654175","0.531591316911284","0.293589211169724","0.373603771122265","0.586784654813286","0.504445487309175","0.264245439372311","0.220028430806161","0.335407722956573","0.318976611608306","0.371024131158696","0.45290822926028","0.328931341130656","0.285641199628367","0.356365894191115","0.550053254194766","0.466583956176248","0.311790656934607","0.485383203121665","0.338576003982782","0.282983841603551","0.53092657533382","0.377048874042777","0.3476126276999","0.201688592062946","0.401259494047687","0.575556273141488","0.540236690835529","0.529000533390082","0.525490166126203","0.585387134670531","0.601302333964663"
"1366","Jam2","0.341030944060239","0.430163611221641","0.305614085682836","0.358765576122078","0.389487253839812","0.406091016302713","0.409945521573935","0.33880213153704","0.408533621757565","0.276942068117713","0.539586201641574","0.890358302863484","0.442640724736508","0.556172041103971","0.261987437779657","0.28638789380213","0.434453623456826","0.347792431288749","0.422340897658066","0.451904241390928","0.350742387741382","0.412435360086479","0.543432225297408","0.321598858619334","0.32694536463284","0.57382725546334","0.46666185576872","0.414920906348706","0.395342048657561","0.61145396075546","0.368501883745376","0.440365230300534","0.412123186239799","0.61537841595426","0.619621676582295","0.367669133478052","0.546807336310905","0.448374697451266","0.368469227389783","0.56032567924748","0.479153394296666","0.416752621573354","0.479726186289143","0.434599837522579","0.471850689750766","0.562913855311622","0.391984194527289","0.568688053237188","0.635426256055364","0.358936213654905","0.664703261168978","0.71294783983209","0.547319524179641","0.550655367845936","0.353618981387823","0.257320321628352","0.266428256394809","0.456156342711292","0.423915193618112","0.378669019656594"
"1367","Jdp2","0.534466335595758","0.65586875487166","0.51349144064556","0.816065441267842","0.785641508052529","0.274636508845529","0.345870687911546","0.486712077611791","0.586312906534807","0.703908150671921","0.291895621187331","0.286717251506911","0.771192601583288","0.34767096194154","0.678618260966204","0.640529641997098","0.624012955810989","0.805164123677444","0.802293025578201","0.809146936429813","0.715760600919348","0.680751526598234","0.40366058463214","0.59269775607492","0.721009006321761","0.761935622539434","0.797585165430907","0.788647299808827","0.275892696947733","0.273527618184775","0.612112685652094","0.528820774706987","0.703838885527891","0.520122786776844","0.294683251277579","0.734797305487782","0.368502934925681","0.62729533897413","0.709530592259615","0.654273274831166","0.68368470345885","0.780330445328973","0.851142250221219","0.729602685995848","0.736628548710634","0.477728899124674","0.623239753769167","0.7137579479915","0.770757119410269","0.567942177037659","0.497735916195413","0.534021571121881","0.262663299052184","0.244525568480378","0.679247206749829","0.71890323420586","0.676733329145601","0.698003754114477","0.753358233386651","0.636110664777539"
"1368","Jun","0.535833254412165","0.549285070071618","0.565584690963888","0.253374244417914","0.571490708720234","0.646198809946344","0.294840232942271","0.530348428274374","0.456244358154664","0.418857704684903","0.41676734528032","0.785766802840583","0.376907563150895","0.625010631642136","0.532481323709343","0.642977914926266","0.436354021852294","0.510308292512784","0.634596286457346","0.693476368434822","0.488750059265247","0.36703423000556","0.521354540400261","0.428628467510452","0.501216010344221","0.684776127716341","0.153077086916781","0.693838828934122","0.711301313872007","0.387937716311979","0.652905113195906","0.543722312161331","0.401517039795867","0.586280850503997","0.796974735814381","0.292525320281959","0.656496274595484","0.644765010619689","0.626872965819111","0.453244785046501","0.639746325459487","0.566735171924976","0.649074423372672","0.589006869311862","0.495064119478534","0.507956171004945","0.506969603235407","0.660180431113389","0.680326979717192","0.550234338482557","0.649719450975804","0.656279614384727","0.705176316500272","0.671343036540069","0.395206471377852","0.462396608697134","0.390087020017011","0.430174917980433","0.406564698949314","0.374023449912203"
"1369","Junb","0.296545013809543","0.3784086192032","0.488459470387785","0.751426423555756","0.68391112420661","0.4809145816619","0.537597508650653","0.647402526198771","0.708178353691348","0.680101895483786","0.424349796682294","0.189077264136395","0.676918803472846","0.474720569468079","0.846275030342437","0.778716007520315","0.780550704470284","0.875885757336827","0.576525424938644","0.564951092905996","0.783978627427884","0.597096330930499","0.478323131672228","0.58651542967113","0.852849092465981","0.623774055969663","0.534363921126245","0.627001185336134","0.399916748079665","0.558399334922236","0.625675478742157","0.664119140114968","0.614374022792913","0.514052148125787","0.18841002487142","0.658230773964191","0.369822245898664","0.768531405817551","0.740200669762193","0.756315772959305","0.703203260883742","0.486515279072339","0.486376439489029","0.8142930891198","0.575847907233367","0.499548861843219","0.488317879256217","0.797306221787121","0.571055160557183","0.387804367800176","0.434967019695298","0.439209816986192","0.346488957557851","0.238702936962557","0.610190668948271","0.721420211203447","0.665970742031558","0.511176536398914","0.67410719366761","0.583879152007379"
"1370","Jup","0.517565430194541","0.379480933536828","0.413419012593381","0.391016341912999","0.500765277913938","0.608448153781592","0.831957524494004","0.386553581210472","0.274643478461725","0.338546315521132","0.380503863215549","0.160967415835185","0.705342556281225","0.36371398460377","0.51565629379771","0.517345580379072","0.456000152432045","0.628089101182132","0.555034688502386","0.575763983291748","0.320516956180517","0.461440475903816","0.533416986253762","0.399435020869761","0.591519849855841","0.699240744317973","0.398952283617631","0.553949987113635","0.628580858525877","0.822967405229145","0.400218498093159","0.30053836227675","0.356474717677912","0.35307713604553","0.234086053504612","0.651545349066514","0.422129216863258","0.563047301643169","0.530101297914307","0.397815550280023","0.629932388975828","0.47898323790129","0.481722481070999","0.368540345338239","0.512123567230952","0.570518199191877","0.385224324823209","0.582493728159975","0.695739057528704","0.43682179210825","0.35846550529659","0.341640988939881","0.340879150899795","0.386057759671841","0.356934628853561","0.33093766446707","0.350511070057213","0.393425774279331","0.350140764659101","0.353171305858229"
"1371","Kalrn","0.251958381408417","0.428987045332314","0.272764413122986","0.816763883029046","0.850992532617394","0.847540689600232","0.382674098303882","0.770709484866439","0.743219407602997","0.773099404671674","0.650285436728974","0.659066773794587","0.811007869375157","0.61583605942355","0.813480522232425","0.753065903734851","0.842615678196309","0.886702622669348","0.88758837291941","0.898280822204758","0.815998675803917","0.827603272388183","0.815173072167324","0.791705572707105","0.876248418635698","0.721292017413239","0.777482536958603","0.89115499420385","0.836108156601727","0.394256648357865","0.755188491793972","0.736635814325822","0.772616700049659","0.624764452876897","0.657761655666777","0.861029876348288","0.558685622673111","0.801451312841225","0.75498102774741","0.821202332853991","0.888820132720886","0.874060028099915","0.881455559820547","0.837950344831166","0.859711617640356","0.778722088346079","0.788507426471527","0.846876816636639","0.720837535048162","0.317903279954572","0.501001331049481","0.502035792794506","0.74672310130686","0.729132808436221","0.771713482097851","0.788260306518553","0.74940225216332","0.766062700018673","0.787330061407063","0.748129431227454"
"1372","Kank2","0.455687801429685","0.5300243736078","0.447857598152949","0.422309147219487","0.54750810602643","0.571505411247315","0.796137255656107","0.523356456204946","0.433252849614019","0.50085350125967","0.483895486217552","0.774127175112781","0.422815213014862","0.573131999571824","0.382670511731625","0.35725873373919","0.289614848821725","0.429450324793291","0.364069532163464","0.396672375812417","0.163989267264428","0.476081657490559","0.555315753435642","0.583756878918373","0.416893654264756","0.576657062501494","0.475366204869282","0.479410262220969","0.61674137335241","0.750003500254204","0.519401994455346","0.369623680530162","0.418762740808696","0.576692794817429","0.814127772305491","0.375071405537903","0.566223224200119","0.357294229648683","0.388899107296241","0.216813917461579","0.424178399583097","0.440786371012042","0.448231464384911","0.258821742905731","0.39390065381079","0.560081165806967","0.565893586769355","0.495591451991713","0.535254906801565","0.477856591063478","0.598171965993572","0.579984136526543","0.575398189149972","0.58817211020159","0.567661377767423","0.519917364988563","0.454642154668993","0.499862980038168","0.455921301802433","0.350307610018919"
"1373","Kank4","0.766804491305113","0.726050324311861","0.752047567624424","0.381924067643974","0.418410800366585","0.452395917383762","0.31045731876094","0.367329427955668","0.544576489386651","0.287831563216266","0.303398651953217","0.51803856223734","0.628256866602448","0.491479053595302","0.430011625646829","0.413635644219654","0.525875013205195","0.35931928586949","0.549190759304159","0.486010588820752","0.444440095980151","0.482565348170438","0.522582968481096","0.48310602368141","0.397876914491335","0.520858801175271","0.352556659749912","0.514084962482023","0.494113872766378","0.401561876084837","0.454685682151865","0.610166230409191","0.335385163222877","0.378363614992144","0.506917466929178","0.63799234379499","0.530548621780049","0.560514284301729","0.536719951636292","0.463917768759344","0.413241312775891","0.590323268476003","0.541846129570292","0.482803361821766","0.496291224637917","0.58952064645832","0.565657979495296","0.521168579015284","0.552546455051415","0.748300794413799","0.505462385979568","0.531521293737244","0.514515235624963","0.523069934354927","0.284833472746193","0.336400438397401","0.235457753313967","0.308879098299177","0.365976976854989","0.324206674512971"
"1374","Kansl3","0.567245159081859","0.591584287544292","0.65296008565555","0.470258929108924","0.500085513691054","0.540603465930595","0.205510097824091","0.615086380006825","0.524993539962287","0.381333369907407","0.649181106730502","0.878532781141062","0.686794189255034","0.689534678292022","0.396224714543645","0.540219543305262","0.384728588527278","0.367507825212761","0.636886379986205","0.563291692894068","0.401877308241887","0.376915082093562","0.649778617261209","0.516880667278331","0.409616421993991","0.738981496096814","0.467359609042547","0.573429663300278","0.514276388485852","0.180491226514343","0.650223643532935","0.401407951158183","0.338909842683095","0.693384109462154","0.87900470229132","0.623620441033492","0.663242624702023","0.45840757099173","0.567642619833575","0.395619359585867","0.424650454600357","0.58358245243777","0.488539413630683","0.37413807469128","0.406280387611162","0.617961349498783","0.42660385963009","0.406335230624645","0.720973262897651","0.603929844093901","0.77415633702822","0.77860650465523","0.744917728459571","0.738056569434913","0.306898365652759","0.393125567892701","0.427701425060366","0.256816889311714","0.327696703926536","0.404768130012134"
